title,category
"Je kreatín bezpečný doplnok? Farmaceutka o jeho neuroprotektívnych účinkoch aj rizikách",legitimate
"SaS tvrdí, že vie, prečo chce Fico žalovať Brusel kvôli plynu",legitimate
"Ako podať žiadosť o dôchodok: presný návod krok za krokom",legitimate
"Americký plán by mohol byť základom budúcich dohôd, vraví Putin. Uisťuje, že Rusko Európu nenapadne",propaganda
"Pellegrini reagoval na stretnutie s koaličnými lídrami: Niekedy som zhrozený z toho, čo sa deje",legitimate
"Zástanca riadeného chaosu, ktorého vychválil aj Weiss. Zo šéfa lavičky Raya môže byť budúca trénerská hviezda",legitimate
"Kazaň dominuje rebríčku hokejových klubov, zo SR najvyššie Košice",legitimate
"Do systému Dobrý anjel pribudli košické basketbalistky",legitimate
"Uhynulo ďalšie zviera z košickej ZOO!",clickbait
"Košickí poslanci schválili nový úver na rozvojové projekty",legitimate
"Line-up micro.Wilsonicu v Bratislave a Košiciach je známy",legitimate
"Košičania nemajú pred odvetou v Ríme veľké oči",legitimate
"Vodiča autobusu odsúdili za napadnutie cestujúceho",legitimate
"Slovensko bude dočasným domovom pre palestínskych utečencov",legitimate
"AS Rím nastúpi proti Košiciam bez zranených Brighiho a Andreolliho",legitimate
"STV bude hľadať detské talenty aj na východe",legitimate
"Tonya Graves dodržiava české i americké zvyky",legitimate
"Leteckí záchranári pomohli zranenému mužovi",legitimate
"Investor potvrdil plány na úplné zbúranie PKO",legitimate
"Mestskí policajti budú hliadkovať aj na Štedrý deň",legitimate
"Odvoz odpadu cez sviatky bude ako v pracovné dni",legitimate
"Počet poberateľov sociálnych dávok neustále rastie",legitimate
"Odstúpenie Krčméryho je diskriminačným tlakom",biased
"Vážny chce, aby mýto vyhnalo náklad z cesty",legitimate
"VIDEOANALÝZA: Nálada ekonomiky v SR sa zlepšila",legitimate
